temperature,condition,humidity,wind_speed,barometer,dewpoint,visibility,wind_chill,last_update,timestamp
48°F,Mostly Cloudy,60%,SSW 5 MPH,30.17 in (1021.67 mb),35°F (2°C),10.00 mi,46°F (8°C),07 Mar 05:53 PM PST,2025-03-08T05:06:45.333540
48°F,Mostly Cloudy,60%,SSW 5 MPH,30.17 in (1021.67 mb),35°F (2°C),10.00 mi,46°F (8°C),07 Mar 05:53 PM PST,2025-03-08T05:07:36.512536
48°F,Mostly Cloudy,60%,SSW 5 MPH,30.17 in (1021.67 mb),35°F (2°C),10.00 mi,46°F (8°C),07 Mar 05:53 PM PST,2025-03-08T05:08:27.630614
48°F,Mostly Cloudy,60%,SSW 5 MPH,30.17 in (1021.67 mb),35°F (2°C),10.00 mi,46°F (8°C),07 Mar 05:53 PM PST,2025-03-08T05:09:18.560266
48°F,Mostly Cloudy,60%,SSW 5 MPH,30.17 in (1021.67 mb),35°F (2°C),10.00 mi,46°F (8°C),07 Mar 05:53 PM PST,2025-03-08T05:10:09.354747
48°F,Mostly Cloudy,60%,SSW 5 MPH,30.17 in (1021.67 mb),35°F (2°C),10.00 mi,46°F (8°C),07 Mar 05:53 PM PST,2025-03-08T05:11:00.377558
48°F,Mostly Cloudy,60%,SSW 5 MPH,30.17 in (1021.67 mb),35°F (2°C),10.00 mi,46°F (8°C),07 Mar 05:53 PM PST,2025-03-08T05:11:51.565865
48°F,Mostly Cloudy,60%,SSW 5 MPH,30.17 in (1021.67 mb),35°F (2°C),10.00 mi,46°F (8°C),07 Mar 05:53 PM PST,2025-03-08T05:12:42.238701
48°F,Mostly Cloudy,60%,SSW 5 MPH,30.17 in (1021.67 mb),35°F (2°C),10.00 mi,46°F (8°C),07 Mar 05:53 PM PST,2025-03-08T05:13:33.069163
48°F,Mostly Cloudy,60%,SSW 5 MPH,30.17 in (1021.67 mb),35°F (2°C),10.00 mi,46°F (8°C),07 Mar 05:53 PM PST,2025-03-08T05:14:24.306118
