period,description,temperature,condition,timestamp
Tonight,Mostly Cloudythen ChanceRain,Low: 41 °F,"Tonight: A 30 percent chance of rain, mainly after 3am.  Mostly cloudy, with a low around 41. South southeast wind around 8 mph. ",2025-03-08T06:41:44.341320
Saturday,Rain Likely,High: 58 °F,"Saturday: Rain likely, mainly before 11am.  Mostly cloudy, with a high near 58. South southwest wind 8 to 13 mph.  Chance of precipitation is 60%. New precipitation amounts of less than a tenth of an inch possible. ",2025-03-08T06:41:44.341320
Saturday Night,Chance Rain,Low: 45 °F,"Saturday Night: A 30 percent chance of rain, mainly after 4am.  Mostly cloudy, with a low around 45. South wind around 9 mph. ",2025-03-08T06:41:44.342427
Sunday,Rain,High: 54 °F,"Sunday: Rain, mainly after 10am.  High near 54. South southwest wind 11 to 15 mph, with gusts as high as 24 mph.  Chance of precipitation is 80%. New precipitation amounts between a tenth and quarter of an inch possible. ",2025-03-08T06:41:44.342427
Sunday Night,Rain thenChance Rain,Low: 38 °F,"Sunday Night: Rain, mainly before 10pm.  Low around 38. South southwest wind 8 to 10 mph.  Chance of precipitation is 90%. New precipitation amounts between a tenth and quarter of an inch possible. ",2025-03-08T06:41:44.342427
Monday,Chance Rain,High: 49 °F,"Monday: A 50 percent chance of rain.  Mostly cloudy, with a high near 49.",2025-03-08T06:41:44.342427
Monday Night,Rain Likely,Low: 38 °F,"Monday Night: Rain likely, mainly after 10pm.  Mostly cloudy, with a low around 38. Chance of precipitation is 60%.",2025-03-08T06:41:44.342427
Tuesday,Rain,High: 49 °F,"Tuesday: Rain.  Mostly cloudy, with a high near 49.",2025-03-08T06:41:44.342427
Tuesday Night,Rain,Low: 40 °F,"Tuesday Night: Rain.  Mostly cloudy, with a low around 40.",2025-03-08T06:41:44.343458
Tonight,Mostly Cloudythen ChanceRain,Low: 41 °F,"Tonight: A 30 percent chance of rain, mainly after 3am.  Mostly cloudy, with a low around 41. South southeast wind around 8 mph. ",2025-03-08T06:42:34.914622
Saturday,Rain Likely,High: 58 °F,"Saturday: Rain likely, mainly before 11am.  Mostly cloudy, with a high near 58. South southwest wind 8 to 13 mph.  Chance of precipitation is 60%. New precipitation amounts of less than a tenth of an inch possible. ",2025-03-08T06:42:34.914622
Saturday Night,Chance Rain,Low: 45 °F,"Saturday Night: A 30 percent chance of rain, mainly after 4am.  Mostly cloudy, with a low around 45. South wind around 9 mph. ",2025-03-08T06:42:34.914622
Sunday,Rain,High: 54 °F,"Sunday: Rain, mainly after 10am.  High near 54. South southwest wind 11 to 15 mph, with gusts as high as 24 mph.  Chance of precipitation is 80%. New precipitation amounts between a tenth and quarter of an inch possible. ",2025-03-08T06:42:34.914622
Sunday Night,Rain thenChance Rain,Low: 38 °F,"Sunday Night: Rain, mainly before 10pm.  Low around 38. South southwest wind 8 to 10 mph.  Chance of precipitation is 90%. New precipitation amounts between a tenth and quarter of an inch possible. ",2025-03-08T06:42:34.914622
Monday,Chance Rain,High: 49 °F,"Monday: A 50 percent chance of rain.  Mostly cloudy, with a high near 49.",2025-03-08T06:42:34.914622
Monday Night,Rain Likely,Low: 38 °F,"Monday Night: Rain likely, mainly after 10pm.  Mostly cloudy, with a low around 38. Chance of precipitation is 60%.",2025-03-08T06:42:34.914622
Tuesday,Rain,High: 49 °F,"Tuesday: Rain.  Mostly cloudy, with a high near 49.",2025-03-08T06:42:34.916058
Tuesday Night,Rain,Low: 40 °F,"Tuesday Night: Rain.  Mostly cloudy, with a low around 40.",2025-03-08T06:42:34.916058
Tonight,Mostly Cloudythen ChanceRain,Low: 41 °F,"Tonight: A 30 percent chance of rain, mainly after 3am.  Mostly cloudy, with a low around 41. South southeast wind around 8 mph. ",2025-03-08T06:43:25.393961
Saturday,Rain Likely,High: 58 °F,"Saturday: Rain likely, mainly before 11am.  Mostly cloudy, with a high near 58. South southwest wind 8 to 13 mph.  Chance of precipitation is 60%. New precipitation amounts of less than a tenth of an inch possible. ",2025-03-08T06:43:25.393961
Saturday Night,Chance Rain,Low: 45 °F,"Saturday Night: A 30 percent chance of rain, mainly after 4am.  Mostly cloudy, with a low around 45. South wind around 9 mph. ",2025-03-08T06:43:25.393961
Sunday,Rain,High: 54 °F,"Sunday: Rain, mainly after 10am.  High near 54. South southwest wind 11 to 15 mph, with gusts as high as 24 mph.  Chance of precipitation is 80%. New precipitation amounts between a tenth and quarter of an inch possible. ",2025-03-08T06:43:25.393961
Sunday Night,Rain thenChance Rain,Low: 38 °F,"Sunday Night: Rain, mainly before 10pm.  Low around 38. South southwest wind 8 to 10 mph.  Chance of precipitation is 90%. New precipitation amounts between a tenth and quarter of an inch possible. ",2025-03-08T06:43:25.393961
Monday,Chance Rain,High: 49 °F,"Monday: A 50 percent chance of rain.  Mostly cloudy, with a high near 49.",2025-03-08T06:43:25.393961
